time,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
0,-0.0420351068746508,2.2096207394795e-05,2.35027778671126e-05,2.33101872242347e-05,2.29106661477352e-05,-1.0506282937528e-05,-2.59620907648861e-05,-2.90747987288648e-05,-3.05812695889432e-05,-3.16879373260526e-05
1,-0.042032017307911,2.22375364565264e-05,2.34739235765447e-05,2.32592028238665e-05,1.93491377963873e-05,-1.21554187046957e-05,-2.62975744885208e-05,-2.92392166547778e-05,-3.07030327123883e-05,-3.15742772900307e-05
2,-0.0420289285083204,2.23788040335515e-05,2.3445027292901e-05,2.320820888424e-05,1.57885823266479e-05,-1.38040995832922e-05,-2.66329665113418e-05,-2.94035927051045e-05,-3.08247587078106e-05,-3.14606680978935e-05
3,-0.0420258404774689,2.25200100025802e-05,2.34160889092117e-05,2.31572053788209e-05,1.22290017747773e-05,-1.54523246209681e-05,-2.69682666409199e-05,-2.95679267949267e-05,-3.09464474973972e-05,-3.13471098602608e-05
4,-0.042022753216938,2.26611542171185e-05,2.3387108327555e-05,2.31061922802978e-05,8.67039818952531e-06,-1.71000928682608e-05,-2.73034746869905e-05,-2.97322188371613e-05,-3.10680990022807e-05,-3.12336026890292e-05
5,-0.0420196667283247,2.28022365492131e-05,2.33580854420157e-05,2.30551695616921e-05,5.11277362125195e-06,-1.87474033687129e-05,-2.76385904574294e-05,-2.98964687446696e-05,-3.11897131438782e-05,-3.11201466969974e-05
6,-0.0420165810132237,2.29432568604193e-05,2.33290201467895e-05,2.30041371990231e-05,1.55613012570166e-06,-2.03942551613712e-05,-2.79736137616671e-05,-3.00606764305766e-05,-3.13112898436968e-05,-3.10067419956594e-05
7,-0.0420134960732365,2.30842150125699e-05,2.32999123422339e-05,2.29530951643131e-05,-1.99953023360955e-06,-2.20406472904999e-05,-2.83085444038877e-05,-3.02248418081602e-05,-3.14328290221058e-05,-3.08933886986051e-05
8,-0.042010411909968,2.32251108678305e-05,2.32707619230443e-05,2.2902043431805e-05,-5.55420538927986e-06,-2.36865787897056e-05,-2.86433821914678e-05,-3.03889647902122e-05,-3.15543305997035e-05,-3.07800869182584e-05
9,-0.0420073285250279,2.33659442866463e-05,2.32415687884679e-05,2.28509819705236e-05,-9.10789326397099e-06,-2.53320486932052e-05,-2.89781269304235e-05,-3.05530452893582e-05,-3.16757944971505e-05,-3.06668367683061e-05
10,-0.042003648686923,2.34005296697037e-05,2.31935199914157e-05,2.07235733348243e-05,-1.15380964194056e-05,-2.6206089934866e-05,-2.92149983260881e-05,-3.06948382881173e-05,-3.16612889046733e-05,-3.22049569037586e-05
11,-0.0419995573223876,2.3361506081343e-05,2.3132425762018e-05,1.71604183536456e-05,-1.31901860895289e-05,-2.65461541073542e-05,-2.93840857881478e-05,-3.08211583299189e-05,-3.15527303045848e-05,-3.48854996021497e-05
12,-0.0419954682739749,2.33223961305096e-05,2.30713164979801e-05,1.35994073742207e-05,-1.48412741108328e-05,-2.68860142552674e-05,-2.95530786264542e-05,-3.09473942802091e-05,-3.14442803782192e-05,-3.75644349851212e-05
13,-0.041991381545316,2.32831996778704e-05,2.30101921639969e-05,1.00405437687412e-05,-1.64913589029703e-05,-2.72256700569184e-05,-2.97219766928203e-05,-3.10735460033185e-05,-3.13359393038851e-05,-4.02417605431665e-05
14,-0.0419872971400195,2.32439165662179e-05,2.29490527341447e-05,6.48383090118276e-06,-1.81404388973072e-05,-2.75651211894545e-05,-2.98907798426395e-05,-3.11996133681575e-05,-3.12277072534242e-05,-4.29174737701932e-05
15,-0.0419832150617119,2.32045466585507e-05,2.28878981654579e-05,2.92927215506111e-06,-1.9788512525265e-05,-2.79043673345747e-05,-3.00594879256155e-05,-3.13255962425957e-05,-3.11195844052981e-05,-4.55915721519345e-05
16,-0.0419791353140146,2.31650897911106e-05,2.28267284421158e-05,-6.23129100096875e-07,-2.14355782073294e-05,-2.82434081709804e-05,-3.0228100797447e-05,-3.14514944931565e-05,-3.10115709353659e-05,-4.8264053171404e-05
17,-0.0419750579005616,2.31255458159052e-05,2.27655435289797e-05,-4.17336947367009e-06,-2.30816343669837e-05,-2.85822433804817e-05,-3.03966183085591e-05,-3.15773079866133e-05,-3.09036670186683e-05,-5.09349143083954e-05
18,-0.041970982824995,2.30859145865514e-05,2.2704343394131e-05,-7.72144557492638e-06,-2.4726679423992e-05,-2.89208726396151e-05,-3.0565040311209e-05,-3.17030365896143e-05,-3.07958728329241e-05,-5.3604153036832e-05
19,-0.0419667715248206,2.30409849384938e-05,2.20655120693469e-05,-1.09551909821537e-05,-2.61562495083023e-05,-2.92321085276215e-05,-3.07271769139639e-05,-3.17909330371374e-05,-3.11471925966492e-05,-5.5817444271189e-05
20,-0.0419618627045187,2.29696464633111e-05,1.85064964044468e-05,-1.26075863535746e-05,-2.65004121877688e-05,-2.94056725295144e-05,-3.08579043372392e-05,-3.16877970805707e-05,-3.38219186519495e-05,-5.57289580745968e-05
21,-0.0419569583773818,2.28982938628719e-05,1.49508156737643e-05,-1.42584226927589e-05,-2.68442538294833e-05,-2.95790853583333e-05,-3.09884971086416e-05,-3.15848252217671e-05,-3.64941499929189e-05,-5.56407236343287e-05
22,-0.0419520585480548,2.28269271348447e-05,1.13984733222106e-05,-1.59076983996531e-05,-2.71877740990467e-05,-2.97523468574812e-05,-3.1118955091225e-05,-3.14820176273573e-05,-3.91638840564548e-05,-5.55527412036128e-05
23,-0.0419471632211773,2.27555462631868e-05,7.84947279747206e-06,-1.75554118616583e-05,-2.75309726711082e-05,-2.99254568684182e-05,-3.12492781476548e-05,-3.13793744634167e-05,-4.18311182795311e-05,-5.54650110350802e-05
24,-0.0419422724013925,2.26841512351306e-05,4.30381755156528e-06,-1.92015614749463e-05,-2.78738492111574e-05,-3.0098415237434e-05,-3.13794661407352e-05,-3.12768958951604e-05,-4.44958500974701e-05,-5.53775333812512e-05
25,-0.0419373860933462,2.26127420395739e-05,7.61511033953166e-07,-2.08461456301379e-05,-2.82164033875709e-05,-3.02712218121504e-05,-3.15095189277748e-05,-3.11745820920362e-05,-4.71580769424787e-05,-5.52903084966166e-05
26,-0.0419325043016864,2.25413186649148e-05,-2.77744330162699e-06,-2.24891627182977e-05,-2.8558634873499e-05,-3.04438764294757e-05,-3.16394363753247e-05,-3.10724332201612e-05,-4.98177962481375e-05,-5.52033366331972e-05
27,-0.0419276270310625,2.24698811025492e-05,-6.31304200654492e-06,-2.41306111288253e-05,-2.89005433361522e-05,-3.06163789354774e-05,-3.17692183434137e-05,-3.09704494453056e-05,-5.24750054483186e-05,-5.51166180437768e-05
28,-0.041922754286122,2.23984293328261e-05,-9.84528161757092e-06,-2.57704892568933e-05,-2.92421284419642e-05,-3.07887291761677e-05,-3.18988646923479e-05,-3.08686309366951e-05,-5.5129701971357e-05,-5.50301529823743e-05
29,-0.0419175018196203,1.98628657888666e-05,-1.20393680748676e-05,-2.6491873186929e-05,-2.94662379875521e-05,-3.09333525433941e-05,-3.18663663587126e-05,-3.2727246848413e-05,-5.58402412079925e-05,-5.31976599516676e-05
30,-0.0419120981079582,1.63221347584397e-05,-1.36847868720813e-05,-2.68373951453071e-05,-2.96421965012006e-05,-3.10665298213775e-05,-3.17676728806837e-05,-3.53864087062478e-05,-5.57551093577496e-05,-5.06521077789784e-05
31,-0.0419067006127304,1.2785565493223e-05,-1.53282590295012e-05,-2.71825134642301e-05,-2.98179631327833e-05,-3.11995359972284e-05,-3.1669180197702e-05,-3.80424605662677e-05,-5.56702886273935e-05,-4.81101571224163e-05
32,-0.0419013093381752,9.2531608238966e-06,-1.69697832331228e-05,-2.75272278650318e-05,-2.99935377522931e-05,-3.13323709588698e-05,-3.15708884340571e-05,-4.06954003265014e-05,-5.55857791966971e-05,-4.55718103260921e-05
33,-0.0418959242885251,5.72492357658883e-06,-1.86093581640567e-05,-2.78715380812589e-05,-3.01689202259481e-05,-3.14650345901724e-05,-3.14727977135942e-05,-4.33452258933181e-05,-5.55015812431572e-05,-4.3037069729579e-05
34,-0.0418905454679999,2.2008565662146e-06,-2.02469825138496e-05,-2.82154438338011e-05,-3.03441104224089e-05,-3.15975267822233e-05,-3.13749081574666e-05,-4.59919351704224e-05,-5.54176949468105e-05,-4.05059376691747e-05
35,-0.0418851728808214,-1.31903738803674e-06,-2.18826549659989e-05,-2.85589448576484e-05,-3.0519108209337e-05,-3.17298474191707e-05,-3.12772198914069e-05,-4.8635526065835e-05,-5.53341204847652e-05,-3.797841647811e-05
36,-0.0418798065312054,-4.8347554705841e-06,-2.35163742137168e-05,-2.89020408767993e-05,-3.06939134589457e-05,-3.18619963873834e-05,-3.11797330354857e-05,-5.12759964915177e-05,-5.52508580360656e-05,-3.54545084843838e-05
37,-0.0418744464233616,-8.34629487134197e-06,-2.51481389484387e-05,-2.92447316213584e-05,-3.086852603712e-05,-3.1993973575617e-05,-3.10824477143534e-05,-5.39133443594603e-05,-5.51679077761477e-05,-3.29342160162172e-05
38,-0.0418697118814624,-1.14560968038635e-05,-2.6504753819323e-05,-2.95521196649329e-05,-3.1034699162602e-05,-3.207761012608e-05,-3.15690500611865e-05,-5.59696118691971e-05,-5.45660734844536e-05,-3.09600175043556e-05
39,-0.0418672697653785,-1.30938756426335e-05,-2.68514734988456e-05,-2.97303761888079e-05,-3.11702501911149e-05,-3.19833613516285e-05,-3.42116089383782e-05,-5.58878297278326e-05,-5.2044467795602e-05,-3.0995875685752e-05
40,-0.0418648308194249,-1.47293267750426e-05,-2.71977071449325e-05,-2.99083994806937e-05,-3.13055930323825e-05,-3.18893476951021e-05,-3.68504546837956e-05,-5.58064156365445e-05,-4.95271524528773e-05,-3.10317440308794e-05
41,-0.0418623950446886,-1.63624494559644e-05,-2.75434545989328e-05,-3.00861894657611e-05,-3.14407276215678e-05,-3.17955692087368e-05,-3.94855861111099e-05,-5.57253696461396e-05,-4.70141286373973e-05,-3.1067622527553e-05
42,-0.0418599624422457,-1.79932429517637e-05,-2.78887157080798e-05,-3.02637460589672e-05,-3.1575653901994e-05,-3.17020259378853e-05,-4.21170020405148e-05,-5.56446918109077e-05,-4.45053975202878e-05,-3.11035111634633e-05
43,-0.0418575330131709,-1.96217065294713e-05,-2.82334903125014e-05,-3.04410691874812e-05,-3.17103718097123e-05,-3.16087179309532e-05,-4.4744701301086e-05,-5.55643821778251e-05,-4.20009602684832e-05,-3.11394099259538e-05
44,-0.0418551067585334,-2.12478394577831e-05,-2.85777782614294e-05,-3.06181587723664e-05,-3.18448812823835e-05,-3.15156452365684e-05,-4.73686827230091e-05,-5.54844408008764e-05,-3.95008180362894e-05,-3.11753188030478e-05
